id_curso;nome_curso;Link;eixos_tematicos;certificador;conteudista;carga_horaria;disponibilidade_dias;tipo_oferta;apresentacao;publico_alvo;conteudo_programatico;data_lancamento;Acessibilidade;Observacao
113;Lei de Diretrizes Orçamentárias para Municípios;https://www.escolavirtual.gov.br/curso/113;Orçamento e Finanças;Enap;Ministério da Fazenda;30;30;Curso Aberto;Conheça a Lei de Diretrizes Orçamentárias (LDO), uma lei orçamentária que compreende as metas e prioridades da administração pública, orienta a elaboração e execução da Lei Orçamentária Anual (LOA), entre outras funções.;Agentes públicos que atuem no aperfeiçoamento e na elaboração da Lei de Diretrizes Orçamentárias dos municípios. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.;1 Apresentação do Sistema Orçamentário 1.1 PPA, LDO e LOA1.2 Ciclo Orçamentário1.3 Leis Orçamentárias 2 Lei de Diretrizes Orçamentárias (LDO) 2.1 Estrutura2.2 Metas e prioridades2.3 Orientações básicas para elaboração e execução da LOA2.4 Política de Pessoal2.5 Transferência de recursos2.6 Alterações na Legislação Tributária2.7 Agências financeiras oficiais de fomento2.8 Transparência 3 Anexo de Metas Fiscais 3.1 Metas Fiscais3.2 Demonstrativos de metas anuais 4 Anexo de Riscos Fiscais 4.1 Riscos fiscais4.2 Classificação dos Riscos Fiscais4.3 Passivos contingentes e demais Riscos Fiscais passivos;11/04/2017;;
341;Lei de Responsabilidade Fiscal (LRF) e Novo Regime Fiscal (NRF);https://www.escolavirtual.gov.br/curso/341;Orçamento e Finanças;Enap;Enap - Escola Nacional de Administração Pública;30;30;Curso Aberto;Os principais pontos da Lei de Responsabilidade Fiscal (LRF) são tratados neste curso com a finalidade de esclarecer aos participantes sobre a aplicabilidade, os fundamentos e os instrumentos que colaboram para a efetividade dessa lei. Além disso, são apresentadas questões importantes trazidas pela Emenda Constitucional nº 95/2016, conhecida como Novo Regime Fiscal (NRF). Quer saber mais sobre esse assunto? Inscreva-se.;Servidores públicos interessados em atuar nas áreas de orçamento e finanças. Curso aberto, qualquer pessoa poderá realizar o curso.;Módulo 1 - Contexto e Fundamentos da Lei de Responsabilidade Fiscal (LRF).Módulo 2 - Receita, Despesa e Transferências Voluntárias.Módulo 3 - Dívida Pública e Gestão Patrimonial.Módulo 4 - Transparência, Controle e Fiscalização da Gestão Fiscal.Módulo 5 - Emenda Constitucional nº 95/2016 - Novo Regime Fiscal.;11/09/2020;;
1084;Matemática Financeira;https://www.escolavirtual.gov.br/curso/1084;Orçamento e Finanças;Enap;Ministério da Fazenda;20;30;Curso Aberto;A proposta desse curso é capacitar pessoas para atuar na avaliação socioeconômica de projetos. A temática do curso integra o Programa Avaliação Socioeconômica de Projetos (ASP) e faz parte do desafio de garantir a gestão adequada dos investimentos públicos de grande vulto. ;Agentes públicos federais, municipais e estaduais que atuem nos Poderes Executivo, Legislativo e Judiciário e sejam responsáveis pela análise de projetos de grande porte. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.;1 Taxa de juros 1.1 Juros simples1.2 Juros compostos1.3 Equivalência e proporcionalidade1.4 Taxas nominal e efetiva 2 Fluxo de caixa e valor presente 2.1 Valor presente2.2 Valor futuro2.3 Diagrama de fluxo de caixa 3 Técnicas e Cálculos para avaliação de investimentos e projetos 3.1 Análise de investimento3.2 Valor Presente Líquido (VPL)3.3 Valor Futuro Líquido (VFL)3.4 Taxa Interna de Retorno (TIR)3.5 Índice de Rentabilidade (IRT)3.6 Método Payback (PB);08/02/2011;;
249;Me Poupe! Invista com Nathalia Arcuri;https://www.escolavirtual.gov.br/curso/249;Orçamento e Finanças;Enap;Enap - Escola Nacional de Administração Pública;20;30;Curso Aberto;Ainda não sabe onde investir seu dinheiro ou está endividado? Me poupe! Faça a sua inscrição e aprenda a economizar e a investir o seu dinheiro com Nathalia Arcuri, fundadora da primeira plataforma de entretenimento financeiro do Brasil. Ela vai oferecer várias dicas sobre educação financeira de um jeito simples, com vídeos divertidos e dinâmicos.;Servidores públicos e a todos que tenham interesse em dicas sobre educação financeira. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.;Motivação para poupar dinheiro Organização financeira Casa própria: mitos, verdades e investimentos Conhecendo investimentos eficazes;31/10/2019;;
948;Modelo Lógico aplicado ao PPA 2024-2027;https://www.escolavirtual.gov.br/curso/948;Orçamento e Finanças;Enap;Enap - Escola Nacional de Administração Pública;40;60;Curso Aberto;Neste curso você conhecerá o processo de elaboração de programas que utiliza como referência o modelo lógico aplicado ao PPA federal 2024-2027 e considera as dimensões estratégica, tática e operacional do planejamento. Este curso integra o conjunto de atividades preparatórias para a elaboração de um plano plurianual conforme o modelo supracitado.;Este curso é destinado a técnicos dos órgãos de planejamento e de entidades e secretarias finalísticas dos Governos Federal, Estadual e Municipal. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.;Módulo 1 - A importância do modelo lógico como técnica de planejamentoMódulo 2 - O Plano Plurianual como instrumento de planejamento e orçamento e Plano Central do GovernoMódulo 3 - Pilares metodológicos, metodologia e estrutura do PPA 2024-2027 do governo federalMódulo 4 - A construção de programas no PPA tomando como referência o modelo lógico.;16/08/2023;;
649;Módulo Fundo a Fundo no Transferegov.br;https://www.escolavirtual.gov.br/curso/649;Orçamento e Finanças;Enap;Secretaria de Gestão e Inovação (SEGES/MGI);30;30;Curso Aberto;Neste curso, você conhecerá o que são os fundos especiais e os procedimentos necessários para a realização de transferências fundo a fundo por meio do Transferegov.br. Você compreenderá as principais etapas e os processos envolvidos nessa operação. Saiba mais sobre esse sistema, inscreva-se já!;Agentes públicos, empresários e autônomos. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.;"Módulo 1: Transferências Fundo a Fundo e o Transferegov.br;Módulo 2: Atos Preparatórios no Módulo Fundo a Fundo;Módulo 3: Processo de Execução no BB Digital Setor Público e BB Gestão Ágil;Módulo 4: Alteração do Plano de Ação durante a Execução;Módulo 5: Registro e Análise do Relatório de Gestão no Transferegov.br.";28/09/2023;;
945;Novo Regime Fiscal e o Teto de Gastos;https://www.escolavirtual.gov.br/curso/945;Orçamento e Finanças;Enap;Enap - Escola Nacional de Administração Pública;30;30;Curso Aberto;Neste curso, você compreenderá os conceitos básicos do processo orçamentário, como quais são as classificações orçamentárias e noções da programação orçamentária e financeira do governo federal. Além disso, você conhecerá as principais regras fiscais aplicadas no Brasil e no mundo e alguns detalhes do novo arcabouço fiscal. Saiba mais, inscreva-se!;"Servidores públicos estaduais e municipais, além de profissionais e demais interessados na área. Curso aberto, gratuito e com certificado; qualquer pessoa pode se inscrever.";"Módulo 1: Noções de Finanças Públicas;Módulo 2: Regras Fiscais;";14/08/2023;;
460;O arrolamento de bens para a proteção do crédito tributário no âmbito da Receita Federal;https://www.escolavirtual.gov.br/curso/460;Orçamento e Finanças;Enap;Secretaria Especial da Receita Federal do Brasil;25;30;Curso Exclusivo;Neste curso você conhecerá os procedimentos administrativos de arrolamento de bens, a partir do estudo sobre a sua origem e evolução como instrumento acautelatório até a análise de casos concretos e da sua interpretação nos tribunais, o que lhe trará maior segurança na identificação e aplicabilidade dos procedimentos na sua rotina de trabalho, no âmbito tributário.;Curso exclusivo para servidores que atuam no âmbito tributário da Receita Federal. Para o usuário ter acesso ao curso é necessário que tenha o cadastro na EV.G com seu e-mail institucional (@rfb.gov.br ou @receita.fazenda.gov.br ou @receita.economia.gov.br).;Módulo 1: Noções introdutórias.Módulo 2: Análise regulatória – lei nº 9.532/1997 e IN RFB nº 1565/2015.Módulo 3: Estudos de caso.;02/09/2022;;
1045;Orçamento e Finanças Públicas Municipais;https://www.escolavirtual.gov.br/curso/1045;Orçamento e Finanças;Enap;Enap - Escola Nacional de Administração Pública;20;30;Curso Aberto;Quer se sentir mais capacitado e atuante no processo orçamentário municipal? Este curso foi especialmente desenvolvido para vereadores e vereadoras de todo o Brasil que desejam aprimorar seus conhecimentos e habilidades no gerenciamento ético e integrado das finanças públicas. Ao longo do curso, você terá acesso a conteúdos teóricos e práticos que ajudarão a compreender as diversas fases do processo orçamentário e a garantir as melhores práticas na gestão pública. Não perca essa chance de contribuir para a melhoria da qualidade de vida da população!;Vereadores e vereadoras brasileiros de todo o país. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.;"Módulo 1: Aspectos Gerais das Finanças Públicas Municipais;Módulo 2: O Sistema Orçamentário Brasileiro;Módulo 3: O Processo Orçamentário;Módulo 4: Contribuições do Legislativo Municipal no Processo Orçamentário.";29/01/2025;;
296;Orçamento Público;https://www.escolavirtual.gov.br/curso/296;Orçamento e Finanças;Enap;Secretaria de Orçamento Federal;40;60;Curso Aberto;Com o objetivo da melhoria da gestão orçamentária, este curso busca desenvolver competências relacionadas aos principais temas orçamentários para aprimorar o trabalho na área e, também, aumentar a qualidade do gasto público e o fortalecimento do controle social. O curso é mais um fruto da parceria da Secretaria do Orçamento Federal (SOF) e da Enap. Ficou interessado? Se inscreva!;Agentes públicos que atuam na gestão orçamentária e interessados no tema. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.;"Módulo 1: Orçamento Público: Conceitos e Fundamentos;Módulo 2: Instrumentos do Processo Orçamentário Brasileiro;Módulo 3: Receita Orçamentária;Módulo 4: Despesa Orçamentária;Módulo 5: Execução e Avaliação Orçamentária.";22/04/2020;;
